Datetime,HourlyFlow,meanspeed
2019-12-03 01:00:00,34,104.3529411764706
2019-12-03 01:15:00,28,106.75
2019-12-03 01:30:00,34,99.32352941176471
2019-12-03 01:45:00,23,99.91304347826087
2019-12-03 02:00:00,23,105.82608695652173
2019-12-03 02:15:00,21,99.95238095238095
2019-12-03 02:30:00,11,103.54545454545455
2019-12-03 02:45:00,16,98.25
2019-12-03 03:00:00,12,99.75
2019-12-03 03:15:00,20,105.6
2019-12-03 03:30:00,22,98.45454545454545
2019-12-03 03:45:00,25,96.24
2019-12-03 04:00:00,31,100.83870967741936
2019-12-03 04:15:00,46,104.21739130434783
2019-12-03 04:30:00,59,104.33898305084746
2019-12-03 04:45:00,50,103.6
2019-12-03 05:00:00,69,102.53623188405797
2019-12-03 05:15:00,91,103.32967032967034
2019-12-03 05:30:00,194,105.19072164948453
2019-12-03 05:45:00,240,103.44583333333334
2019-12-03 06:00:00,366,104.77595628415301
2019-12-03 06:15:00,772,101.15544041450777
2019-12-03 06:30:00,1213,86.55564715581204
2019-12-03 06:45:00,1447,77.77747062888736
2019-12-03 07:00:00,1399,71.31165117941387
2019-12-03 07:15:00,1334,70.24587706146927
2019-12-03 07:30:00,1235,66.66909385113269
2019-12-03 07:45:00,1269,62.73522458628842
2019-12-03 08:00:00,1237,66.39773645917542
2019-12-03 08:15:00,1277,63.98433829287392
2019-12-03 08:30:00,1230,68.83130575831306
2019-12-03 08:45:00,1283,67.91426344505066
2019-12-03 09:00:00,1106,78.73056057866185
2019-12-03 09:15:00,1125,87.78844444444445
2019-12-03 09:30:00,1246,83.08346709470305
2019-12-03 09:45:00,1196,87.75585284280936
2019-12-03 10:00:00,1147,91.99389712292938
2019-12-03 10:15:00,999,95.02002002002003
2019-12-03 10:30:00,1019,95.44062806673209
2019-12-03 10:45:00,876,98.70205479452055
2019-12-03 11:00:00,795,100.54968553459119
2019-12-03 11:15:00,816,99.80882352941177
2019-12-03 11:30:00,800,100.69875
2019-12-03 11:45:00,769,101.83094928478543
2019-12-03 12:00:00,784,102.58035714285714
2019-12-03 12:15:00,866,99.59237875288683
2019-12-03 12:30:00,788,102.54441624365482
2019-12-03 12:45:00,842,100.58907363420427
2019-12-03 13:00:00,831,99.04452466907341
2019-12-03 13:15:00,887,98.54227733934611
2019-12-03 13:30:00,863,98.89107763615296
2019-12-03 13:45:00,808,98.90346534653466
2019-12-03 14:00:00,806,99.53101736972705
2019-12-03 14:15:00,855,99.33684210526316
2019-12-03 14:30:00,817,98.50673194614443
2019-12-03 14:45:00,815,97.47426470588235
2019-12-03 15:00:00,807,97.78562577447336
2019-12-03 15:15:00,907,97.58544652701212
2019-12-03 15:30:00,915,100.13333333333334
2019-12-03 15:45:00,989,97.43680485338726
2019-12-03 16:00:00,1008,97.75595238095238
2019-12-03 16:15:00,942,96.70488322717623
2019-12-03 16:30:00,970,97.62989690721649
2019-12-03 16:45:00,1083,92.89289012003694
2019-12-03 17:00:00,1104,87.39402173913044
2019-12-03 17:15:00,1117,90.64726947179946
2019-12-03 17:30:00,1134,89.82451499118166
2019-12-03 17:45:00,1106,91.70795660036167
2019-12-03 18:00:00,1021,89.15866797257591
2019-12-03 18:15:00,1093,89.98536139066789
2019-12-03 18:30:00,946,95.7463002114165
2019-12-03 18:45:00,877,97.27480045610034
2019-12-03 19:00:00,843,98.55041518386714
